Repository,Commit_Hash,Rule_ID,Message,Severity,File_Path,Line_No
dialoghub,f5d9f1d8a6b1e5748fa22152c8c5eceb2bca5965,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,15
dialoghub,f5d9f1d8a6b1e5748fa22152c8c5eceb2bca5965,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,17
dialoghub,1c137653ed52113eba8bd559375b04e3c035f5eb,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,15
dialoghub,1c137653ed52113eba8bd559375b04e3c035f5eb,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,17
dialoghub,f17b48a8fe1fb0013f0c24c6fb0b0bac1e0ee49d,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,15
dialoghub,f17b48a8fe1fb0013f0c24c6fb0b0bac1e0ee49d,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,17
dialoghub,222d27dd8d772a6d965bb6af8abb0ed9ecd67484,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,15
dialoghub,222d27dd8d772a6d965bb6af8abb0ed9ecd67484,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,warn,E:/huawei/project/dialoghub/hadss_dialog/Index.ets,17
ohos_material_progress_bar,68de3f3b5fc61409704933152ebc147a10308ad0,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,113
ohos_material_progress_bar,68de3f3b5fc61409704933152ebc147a10308ad0,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,120
ohos_material_progress_bar,68de3f3b5fc61409704933152ebc147a10308ad0,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,125
ohos_material_progress_bar,68de3f3b5fc61409704933152ebc147a10308ad0,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,126
ohos_material_progress_bar,39413e16e11ce35aa21f0c6144e71098cf289dd5,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,117
ohos_material_progress_bar,39413e16e11ce35aa21f0c6144e71098cf289dd5,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,124
ohos_material_progress_bar,39413e16e11ce35aa21f0c6144e71098cf289dd5,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,129
ohos_material_progress_bar,39413e16e11ce35aa21f0c6144e71098cf289dd5,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,130
ohos_material_progress_bar,1d23a6f5c42219edfa5d83ff0daf034fe8c22fa4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,117
ohos_material_progress_bar,1d23a6f5c42219edfa5d83ff0daf034fe8c22fa4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,124
ohos_material_progress_bar,1d23a6f5c42219edfa5d83ff0daf034fe8c22fa4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,129
ohos_material_progress_bar,1d23a6f5c42219edfa5d83ff0daf034fe8c22fa4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,130
ohos_material_progress_bar,5f8da26b5f251d0fad588a5aca362f572daca9a4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,115
ohos_material_progress_bar,5f8da26b5f251d0fad588a5aca362f572daca9a4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,122
ohos_material_progress_bar,5f8da26b5f251d0fad588a5aca362f572daca9a4,@performance/hp-arkui-no-state-var-access-in-loop,Avoid frequent state variable reads inside loop logic,warn,E:/huawei/project/ohos_material_progress_bar/MaterialProgressBar/src/main/ets/components/material/smooth/MultiLine.ets,127
